Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"36047011800","14000US36047011800","Census Tract 118, Kings County, New York","Census Tract 118, Kings County, New York","ny","140","00","ACSSF","0004570",,,,,"36","047",,,,"011800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31597
"36047011900","14000US36047011900","Census Tract 119, Kings County, New York","Census Tract 119, Kings County, New York","ny","140","00","ACSSF","0004571",,,,,"36","047",,,,"011900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91397
"36047012000","14000US36047012000","Census Tract 120, Kings County, New York","Census Tract 120, Kings County, New York","ny","140","00","ACSSF","0004572",,,,,"36","047",,,,"012000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32708
"36047012100","14000US36047012100","Census Tract 121, Kings County, New York","Census Tract 121, Kings County, New York","ny","140","00","ACSSF","0004573",,,,,"36","047",,,,"012100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101786
"36047012200","14000US36047012200","Census Tract 122, Kings County, New York","Census Tract 122, Kings County, New York","ny","140","00","ACSSF","0004574",,,,,"36","047",,,,"012200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41061
"36047012600","14000US36047012600","Census Tract 126, Kings County, New York","Census Tract 126, Kings County, New York","ny","140","00","ACSSF","0004575",,,,,"36","047",,,,"012600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47375
"36047012700","14000US36047012700","Census Tract 127, Kings County, New York","Census Tract 127, Kings County, New York","ny","140","00","ACSSF","0004576",,,,,"36","047",,,,"012700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53245
"36047012801","14000US36047012801","Census Tract 128.01, Kings County, New York","Census Tract 128.01, Kings County, New York","ny","140","00","ACSSF","0004577",,,,,"36","047",,,,"012801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37128
"36047012901","14000US36047012901","Census Tract 129.01, Kings County, New York","Census Tract 129.01, Kings County, New York","ny","140","00","ACSSF","0004578",,,,,"36","047",,,,"012901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104331
"36047012902","14000US36047012902","Census Tract 129.02, Kings County, New York","Census Tract 129.02, Kings County, New York","ny","140","00","ACSSF","0004579",,,,,"36","047",,,,"012902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110694
"36047013000","14000US36047013000","Census Tract 130, Kings County, New York","Census Tract 130, Kings County, New York","ny","140","00","ACSSF","0004580",,,,,"36","047",,,,"013000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61410
"36047013100","14000US36047013100","Census Tract 131, Kings County, New York","Census Tract 131, Kings County, New York","ny","140","00","ACSSF","0004581",,,,,"36","047",,,,"013100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130156
"36047013200","14000US36047013200","Census Tract 132, Kings County, New York","Census Tract 132, Kings County, New York","ny","140","00","ACSSF","0004582",,,,,"36","047",,,,"013200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53065
"36047013300","14000US36047013300","Census Tract 133, Kings County, New York","Census Tract 133, Kings County, New York","ny","140","00","ACSSF","0004583",,,,,"36","047",,,,"013300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156467
"36047013400","14000US36047013400","Census Tract 134, Kings County, New York","Census Tract 134, Kings County, New York","ny","140","00","ACSSF","0004584",,,,,"36","047",,,,"013400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74602
"36047013500","14000US36047013500","Census Tract 135, Kings County, New York","Census Tract 135, Kings County, New York","ny","140","00","ACSSF","0004585",,,,,"36","047",,,,"013500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134536
"36047013600","14000US36047013600","Census Tract 136, Kings County, New York","Census Tract 136, Kings County, New York","ny","140","00","ACSSF","0004586",,,,,"36","047",,,,"013600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68719
"36047013700","14000US36047013700","Census Tract 137, Kings County, New York","Census Tract 137, Kings County, New York","ny","140","00","ACSSF","0004587",,,,,"36","047",,,,"013700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109081
"36047013800","14000US36047013800","Census Tract 138, Kings County, New York","Census Tract 138, Kings County, New York","ny","140","00","ACSSF","0004588",,,,,"36","047",,,,"013800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56053
"36047013900","14000US36047013900","Census Tract 139, Kings County, New York","Census Tract 139, Kings County, New York","ny","140","00","ACSSF","0004589",,,,,"36","047",,,,"013900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120580
"36047014000","14000US36047014000","Census Tract 140, Kings County, New York","Census Tract 140, Kings County, New York","ny","140","00","ACSSF","0004590",,,,,"36","047",,,,"014000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70982
"36047014100","14000US36047014100","Census Tract 141, Kings County, New York","Census Tract 141, Kings County, New York","ny","140","00","ACSSF","0004591",,,,,"36","047",,,,"014100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102835
"36047014200","14000US36047014200","Census Tract 142, Kings County, New York","Census Tract 142, Kings County, New York","ny","140","00","ACSSF","0004592",,,,,"36","047",,,,"014200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58309
"36047014300","14000US36047014300","Census Tract 143, Kings County, New York","Census Tract 143, Kings County, New York","ny","140","00","ACSSF","0004593",,,,,"36","047",,,,"014300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102470
"36047014500","14000US36047014500","Census Tract 145, Kings County, New York","Census Tract 145, Kings County, New York","ny","140","00","ACSSF","0004594",,,,,"36","047",,,,"014500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73109
"36047014700","14000US36047014700","Census Tract 147, Kings County, New York","Census Tract 147, Kings County, New York","ny","140","00","ACSSF","0004595",,,,,"36","047",,,,"014700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87679
"36047014800","14000US36047014800","Census Tract 148, Kings County, New York","Census Tract 148, Kings County, New York","ny","140","00","ACSSF","0004596",,,,,"36","047",,,,"014800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56750
"36047014900","14000US36047014900","Census Tract 149, Kings County, New York","Census Tract 149, Kings County, New York","ny","140","00","ACSSF","0004597",,,,,"36","047",,,,"014900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124028
"36047015000","14000US36047015000","Census Tract 150, Kings County, New York","Census Tract 150, Kings County, New York","ny","140","00","ACSSF","0004598",,,,,"36","047",,,,"015000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75750
"36047015100","14000US36047015100","Census Tract 151, Kings County, New York","Census Tract 151, Kings County, New York","ny","140","00","ACSSF","0004599",,,,,"36","047",,,,"015100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122456
